인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용 이외,교육연구시설,인천,2800.05,4.0
예비인증,주거용 이외,업무시설,서울,3983.58,5.0
예비인증,주거용 이외,교육연구시설,제주,9645.48,4.0
예비인증,주거용 이외,교육연구시설,경기,1568.16,4.0
예비인증,주거용 이외,제2종 근린생활시설,대전,2232.91,5.0
예비인증,주거용 이외,업무시설,서울,3382.32,5.0
예비인증,주거용 이외,교육연구시설,부산,11208.95,4.0
예비인증,주거용,공동주택,전남,5548.7253,5.0
예비인증,주거용 이외,국방·군사시설,충북,4014.71,5.0
예비인증,주거용 이외,업무시설,대전,1995.28,4.0
예비인증,주거용 이외,교육연구시설,강원,2587.54,4.0
예비인증,주거용 이외,제1종 근린생활시설,강원,638.57,3.0
예비인증,주거용 이외,관광 휴게시설,충남,3375.37,4.0
예비인증,주거용 이외,운동시설,충남,976.59,5.0
예비인증,주거용 이외,관광 휴게시설,충남,3356.12,4.0
예비인증,주거용 이외,업무시설,경기,3523.15,4.0
예비인증,주거용 이외,업무시설,부산,6635.0,4.0
예비인증,주거용 이외,교육연구시설,부산,6081.46,4.0
예비인증,주거용 이외,교육연구시설,강원,2584.63,4.0
예비인증,주거용 이외,국방·군사시설,강원,1105.19,5.0
예비인증,주거용 이외,국방·군사시설,강원,2229.66,5.0
예비인증,주거용 이외,국방·군사시설,강원,1256.67,5.0
예비인증,주거용 이외,국방·군사시설,강원,2056.49,5.0
예비인증,주거용 이외,국방·군사시설,강원,2229.66,5.0
예비인증,주거용 이외,교육연구시설,경남,2952.61,4.0
예비인증,주거용 이외,노유자시설,충북,1974.83,4.0
예비인증,주거용 이외,국방·군사시설,경기,2229.66,5.0
예비인증,주거용 이외,노유자시설,광주,3182.81,4.0
예비인증,주거용 이외,교육연구시설,부산,8152.25,4.0
예비인증,주거용 이외,노유자시설,경기,3859.25,4.0
예비인증,주거용 이외,교육연구시설,경기,13703.62,5.0
예비인증,주거용 이외,운동시설,대구,1924.1089,4.0
예비인증,주거용,공동주택,울산,36129.7631,5.0
예비인증,주거용 이외,교육연구시설,전북,6012.93,4.0
예비인증,주거용 이외,노유자시설,강원,2594.02,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,1253.08,4.0
예비인증,주거용 이외,위험물 저장 및 처리 시설,인천,522.96,4.0
본인증,주거용 이외,노유자시설,경기,592.03,5.0
예비인증,주거용 이외,국방·군사시설,강원,2019.49,5.0
예비인증,주거용 이외,제1종 근린생활시설,경북,593.82,4.0
예비인증,주거용 이외,제1종 근린생활시설,전남,780.98,5.0
예비인증,주거용,공동주택,제주,4364.3214,4.0
예비인증,주거용 이외,운동시설,충남,3553.18,1.0
예비인증,주거용 이외,교육연구시설,경기,3390.12,4.0
예비인증,주거용 이외,공장,경기,201103.66,4.0
예비인증,주거용 이외,운동시설,인천,22287.98,4.0
